Brand,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH
Tesla ,233,450,161,940
Volkswagen ,160,270,167,250
Polestar ,210,400,181,620
BMW ,180,360,206,560
Honda ,145,170,168,190
Lucid ,250,610,180,620
Peugeot ,150,190,168,220
Audi ,150,275,164,420
Mercedes ,225,310,153,650
Nissan ,180,400,193,540
Hyundai ,180,370,216,440
Porsche ,144,220,164,230
MG ,167,400,160,380
Mini ,200,450,178,650
Opel ,165,250,153,210
Skoda ,160,440,175,590
Volvo ,260,375,223,780
Kia ,130,195,166,170
Renault ,140,220,193,260
Mazda ,150,185,156,260
Lexus ,150,275,164,420
CUPRA ,217,425,171,930
SEAT ,160,290,179,230
Lightyear ,240,425,197,850
